date,customer_name,region,product,rating,feedback_text
2025-09-13 16:15:57.071728,Customer_103,Central,Product A,5,Delivery was late and packaging was damaged.
2025-09-16 16:15:57.071728,Customer_232,North,Product B,4,Very satisfied with the quality.
2025-09-17 16:15:57.071728,Customer_299,West,Product C,4,Customer service was rude and unhelpful.
2025-09-17 16:15:57.071728,Customer_271,East,Product A,4,Very disappointed with the quality.
2025-09-17 16:15:57.071728,Customer_169,Central,Product B,1,"Not bad, could be better."
2025-09-20 16:15:57.071728,Customer_137,Central,Product B,1,The support team was very helpful and kind.
2025-09-21 16:15:57.071728,Customer_146,South,Product C,2,Customer service was rude and unhelpful.
2025-09-22 16:15:57.071728,Customer_116,Central,Product C,2,Very disappointed with the quality.
2025-09-23 16:15:57.071728,Customer_249,West,Product C,5,Excellent service and fast delivery.
2025-09-24 16:15:57.071728,Customer_55,Central,Product C,4,Excellent service and fast delivery.
2025-09-28 16:15:57.071728,Customer_149,South,Product A,1,"Not bad, could be better."
2025-09-30 16:15:57.071728,Customer_278,Central,Product C,2,"Amazing experience, will buy again."
2025-09-30 16:15:57.071728,Customer_35,Central,Product C,5,The support team was very helpful and kind.
2025-10-01 16:15:57.071728,Customer_44,Central,Product D,1,Delivery was late and packaging was damaged.
2025-10-03 16:15:57.071728,Customer_68,North,Product D,5,"I regret buying this, waste of money."
2025-10-04 16:15:57.071728,Customer_216,Central,Product A,5,"Not bad, could be better."
2025-10-04 16:15:57.071728,Customer_126,Central,Product C,1,Very disappointed with the quality.
2025-10-05 16:15:57.071728,Customer_279,North,Product C,1,"The product is okay, nothing special."
2025-10-06 16:15:57.071728,Customer_245,North,Product A,3,"I love this product, it works great!"
2025-10-06 16:15:57.071728,Customer_6,South,Product B,3,"Delivery was on time, product is fine."
2025-10-07 16:15:57.071728,Customer_195,East,Product B,1,"Not bad, could be better."
2025-10-07 16:15:57.071728,Customer_0,South,Product C,1,Delivery was late and packaging was damaged.
2025-10-08 16:15:57.071728,Customer_132,Central,Product D,4,"The product is okay, nothing special."
2025-10-08 16:15:57.071728,Customer_171,Central,Product D,2,The support team was very helpful and kind.
2025-10-08 16:15:57.071728,Customer_32,South,Product B,2,"I regret buying this, waste of money."
2025-10-09 16:15:57.071728,Customer_242,North,Product D,5,"I regret buying this, waste of money."
2025-10-09 16:15:57.071728,Customer_9,North,Product D,1,"I regret buying this, waste of money."
2025-10-09 16:15:57.071728,Customer_217,North,Product A,3,"It works as described, average experience."
